Star ID,Ra,De,Magnitude
106,0.17360339,1.4397909,6.4
143,0.23946317,1.46097003,5.5
162,0.26397065,1.40578529,6.6
168,0.27186259,1.4289987,6.8
171,0.27781271,1.47667237,6.7
181,0.29996312,1.50546977,4.5
193,0.33259256,1.52097372,6.4
209,0.40945126,1.55361434,6.5
221,0.34684237,1.41186185,6.7
308,0.66240416,1.55795187,2.1
344,0.5647023,1.41888078,6.0
345,0.56941869,1.42212865,6.8
359,0.59672923,1.45842083,6.9
404,0.6870381,1.46319731,6.8
433,0.73213421,1.42154479,5.9
500,0.83646781,1.42193055,6.0
550,0.92648803,1.48197788,5.8
594,1.00137844,1.40189277,6.7
623,1.09094932,1.51191003,5.8
650,1.09103106,1.40845545,5.3
670,1.12513101,1.40560828,6.6
685,1.17031242,1.46272142,5.4
691,1.16519773,1.41064613,5.6
693,1.17810277,1.45456574,5.7
695,1.2016677,1.49272945,6.7
783,1.3104868,1.41710365,5.3
843,1.44775171,1.49990769,6.5
873,1.50015871,1.49519089,6.5
914,1.5766242,1.4867099,6.4
1037,1.79676171,1.51292717,6.6
1043,1.76494683,1.43318356,6.4
1164,1.94327482,1.4182115,6.2
1168,2.00936688,1.51878799,5.3
1179,1.96818147,1.43835313,5.1
1194,1.9838354,1.41191406,6.5
1254,2.07819707,1.4008988,6.5
1300,2.16811265,1.46708314,6.4
1319,2.20152436,1.43868794,6.2
1378,2.29674959,1.4353486,6.7
1453,2.40510392,1.41073315,6.5
1461,2.42318546,1.46923518,6.3
1551,2.51801938,1.41941442,4.6
1637,2.65539374,1.46465345,6.5
1681,2.72577799,1.44516181,6.9
1701,2.74754749,1.47047815,5.6
1714,2.75358742,1.44092032,5.3
1735,2.77520768,1.40489667,6.6
1758,2.80776324,1.40372221,6.7
1884,3.01872671,1.41593947,6.1
1967,3.14293627,1.41115736,6.4
1975,3.16109045,1.4937779,6.4
1991,3.18958841,1.42610999,6.3
2010,3.20847309,1.53065705,6.3
2012,3.21514505,1.50859323,6.3
2080,3.33546237,1.40710262,6.3
2101,3.35587553,1.4559173,5.8
2102,3.35638131,1.4558294,5.3
2164,3.4575968,1.40448904,6.3
2266,3.58833055,1.4443015,6.2
2289,3.62597301,1.4096653,6.8
2459,3.88484272,1.44010496,5.7
2556,4.05432771,1.4040945,6.5
2564,4.05724903,1.43577116,6.9
2588,4.09997229,1.39597169,6.9
2770,4.38936664,1.43182119,4.4
2793,4.4349201,1.41126679,6.7
2859,4.53618992,1.39864553,5.9
2937,4.59116008,1.51121976,4.4
2940,4.58497994,1.51787896,5.9
3020,4.52454014,1.55400059,6.5
3056,4.81777349,1.45168231,6.1
3059,4.77995315,1.51246311,6.8
3133,4.92676974,1.46442384,6.8
3146,4.94754126,1.437628,6.8
3209,5.04020741,1.45670032,6.3
3332,5.23306833,1.47774604,6.6
3364,5.29898869,1.40554613,6.8
3404,5.34531729,1.45181568,6.8
