Star ID,Ra,De,Magnitude
143,0.23946317,1.46097003,5.5
181,0.29996312,1.50546977,4.5
308,0.66240416,1.55795187,2.1
623,1.09094932,1.51191003,5.8
650,1.09103106,1.40845545,5.3
685,1.17031242,1.46272142,5.4
691,1.16519773,1.41064613,5.6
693,1.17810277,1.45456574,5.7
783,1.3104868,1.41710365,5.3
1168,2.00936688,1.51878799,5.3
1179,1.96818147,1.43835313,5.1
1551,2.51801938,1.41941442,4.6
1701,2.74754749,1.47047815,5.6
1714,2.75358742,1.44092032,5.3
2102,3.35638131,1.4558294,5.3
2459,3.88484272,1.44010496,5.7
2770,4.38936664,1.43182119,4.4
2859,4.53618992,1.39864553,5.9
2937,4.59116008,1.51121976,4.4
2940,4.58497994,1.51787896,5.9
3408,5.35920589,1.42109454,5.6
3458,5.42180591,1.44044147,5.7
3467,5.44349228,1.40590218,5.6
3721,5.81708473,1.50286709,5.4
3794,5.96676817,1.45130934,5.0
3816,5.99700345,1.47212036,5.0
3916,6.13927593,1.52380256,5.6
4216,0.19918825,1.30878769,5.6
4226,0.20842853,1.30633575,5.4
4341,0.31537321,1.39057382,5.7
4453,0.4298538,1.27478863,5.5
4470,0.44912347,1.2325968,5.3
4554,0.5321338,1.23756134,4.6
4560,0.53858672,1.26399062,4.1
4562,0.54593921,1.34881207,5.4
4565,0.54768519,1.3284592,5.3
4694,0.68954941,1.27091924,5.3
4810,0.81213981,1.38611446,5.7
4840,0.8374889,1.29841331,4.9
4875,0.8741027,1.35672767,5.5
5000,1.00020718,1.23693336,5.4
5006,1.00512879,1.24498311,4.7
5309,1.2602968,1.32542393,6.0
5407,1.32934755,1.2927134,6.0
5455,1.36299401,1.29061096,5.4
5483,1.38850352,1.27876769,5.8
5496,1.40742573,1.38284405,5.2
5861,1.69402748,1.23107831,6.0
5919,1.74742765,1.36128599,5.9
5946,1.7725329,1.38866773,5.6
6022,1.83288697,1.34350913,4.8
6041,1.83852598,1.23583555,5.8
6378,2.09524624,1.29011156,5.6
6392,2.115272,1.3871827,5.3
6487,2.17964011,1.32220772,5.7
6792,2.42547134,1.27315103,5.9
6897,2.5066482,1.2187703,4.6
6936,2.54361333,1.26104538,5.4
7164,2.77111241,1.32144012,5.0
7500,3.16451028,1.342257,6.0
7522,3.19481923,1.35465926,5.1
7532,3.20766144,1.22522443,5.9
7540,3.22377512,1.31179994,5.4
7593,3.28768937,1.21803445,3.9
7600,3.29314446,1.22211115,5.2
7821,3.52099,1.37259174,5.9
7854,3.56563225,1.24341183,5.7
7958,3.70380102,1.35345867,5.0
8024,3.78529357,1.32114429,4.4
8102,3.88643918,1.29425734,2.2
8207,4.00159935,1.2535632,5.1
8220,4.01743712,1.25374045,3.1
8274,4.06406556,1.35000069,5.3
8328,4.1192328,1.35777007,4.3
8417,4.2041563,1.34030267,5.6
8446,4.23602594,1.32431337,5.5
8470,4.26517519,1.32217771,5.0
8527,4.30100979,1.37818116,5.5
8890,4.63358482,1.25923532,4.9
8939,4.66635578,1.34325479,5.0
8961,4.6913814,1.25672879,5.5
9084,4.80296088,1.24508124,4.2
9087,4.80426537,1.26942848,3.7
9151,4.84219319,1.35345135,5.8
9241,4.91213784,1.29303464,5.4
9250,4.91471453,1.31657172,5.4
9283,4.94974365,1.24437094,4.9
9341,5.01417641,1.33623193,5.1
9366,5.04203848,1.28029413,4.6
9404,5.06839579,1.33621714,5.8
9540,5.18438339,1.22640549,4.0
9665,5.27477421,1.3563196,4.4
9802,5.37346392,1.30820475,5.2
10057,5.62284202,1.23151726,3.3
10126,5.68070478,1.24462018,4.9
10131,5.68570165,1.26222478,5.4
10216,5.75631128,1.27722996,5.1
10265,5.80237808,1.26259305,5.0
10402,5.88997114,1.37574284,5.5
10414,5.90038857,1.33040209,5.7
10425,5.91565642,1.28531646,5.2
10629,6.05584912,1.31576179,4.6
10664,6.08518541,1.29557928,5.7
10671,6.08958095,1.23723283,5.6
10737,6.14040327,1.22800978,5.6
10818,6.19307279,1.3549406,3.4
10937,0.01135409,1.15364421,6.0
10956,0.02050478,1.17227885,5.8
11256,0.14398712,1.09836673,4.2
