,Star ID,RA,DE,Magnitude
0,142,0.21837139,1.45624411,5.5
1,180,0.26840197,1.50080993,4.5
2,307,0.47478673,1.55384598,2.1
3,549,0.87311703,1.47898968,5.8
4,622,1.00912939,1.50951268,5.8
5,690,1.12678421,1.4086501,5.6
6,692,1.1293265,1.45257281,5.7
7,782,1.26932169,1.41575073,5.3
8,1167,1.91045333,1.52064002,5.3
9,1178,1.92284255,1.44014083,5.1
10,1550,2.48763146,1.42331756,4.6
11,1700,2.71704154,1.47494255,5.6
12,1713,2.72779727,1.44538497,5.3
13,2100,-2.92933246,1.46065922,5.8
14,2458,-2.38429762,1.44371265,5.7
15,2769,-1.8717998,1.43331063,4.4
16,2858,-1.73059452,1.39945619,5.9
17,2939,-1.61790217,1.51830041,5.9
18,3407,-0.90989795,1.41813577,5.6
19,3457,-0.84504194,1.43724126,5.7
20,3466,-0.82941485,1.40264898,5.6
21,3533,-0.71771204,1.41410173,6.0
22,3720,-0.44697744,1.49849611,5.4
23,3793,-0.31531663,1.44668039,5.0
24,3815,-0.28410614,1.46745247,5.0
25,3915,-0.14150184,1.51899098,5.6
26,4215,0.18459978,1.30402605,5.6
27,4340,0.29614776,1.38594269,5.7
28,4452,0.41222278,1.27035952,5.5
29,4469,0.43203612,1.22820657,5.3
30,4553,0.5140378,1.23335277,4.6
31,4559,0.5197555,1.25979237,4.1
32,4561,0.52376109,1.34464747,5.4
33,4564,0.526559,1.32429121,5.3
34,4693,0.66859165,1.26713561,5.3
35,4809,0.78257874,1.38271936,5.7
36,4839,0.81359389,1.29514155,4.9
37,4874,0.84604552,1.35357367,5.5
38,4999,0.97735828,1.2342793,5.4
39,5308,1.23075784,1.32390482,6.0
40,5482,1.36150357,1.27783122,5.8
41,5495,1.37129327,1.3819293,5.2
42,5860,1.66917283,1.23161035,6.0
43,5918,1.71363393,1.36205917,5.9
44,5945,1.73546728,1.3896999,5.6
45,6021,1.80120387,1.34469707,4.8
46,6040,1.81380166,1.23706775,5.8
47,6377,2.0693143,1.29249858,5.6
48,6391,2.08137416,1.38964027,5.3
49,6486,2.15249421,1.32492792,5.7
50,6791,2.40376737,1.2767962,5.9
51,6897,2.48806241,1.26413054,5.8
52,7008,2.59163367,1.27616133,6.0
53,7163,2.75282566,1.32595262,5.0
54,7499,-3.12964711,1.34713641,6.0
55,7531,-3.08586058,1.23007805,5.9
56,7539,-3.06912963,1.31664124,5.4
57,7820,-2.76416658,1.37709838,5.9
58,7853,-2.72281136,1.24784564,5.7
59,7957,-2.57868339,1.35755956,5.0
60,8023,-2.49755241,1.32502372,4.4
61,8101,-2.39621742,1.2978248,2.2
62,8206,-2.28150094,1.25672956,5.1
63,8273,-2.21283961,1.35291897,5.3
64,8416,-2.07197475,1.34264737,5.6
65,8445,-2.04107725,1.32652426,5.5
66,8461,-2.02739016,1.28312185,6.0
67,8526,-1.9702123,1.38006956,5.5
68,8611,-1.8967535,1.35440149,6.0
69,8938,-1.60708724,1.34339466,5.0
70,8960,-1.5880382,1.2568209,5.5
71,8995,-1.55381936,1.39626127,5.8
72,9083,-1.47709359,1.24462449,4.2
73,9086,-1.47498655,1.26905872,3.7
74,9150,-1.43041214,1.3527967,5.8
75,9240,-1.36557825,1.29203884,5.4
76,9249,-1.36137753,1.31556054,5.4
77,9282,-1.33074686,1.2432117,4.9
78,9365,-1.23689506,1.27868576,4.6
79,9403,-1.20701095,1.33450628,5.8
80,9413,-1.20101727,1.38761268,6.0
81,9664,-1.00090458,1.3537082,4.4
82,9801,-0.90674632,1.30522063,5.2
83,9958,-0.75689323,1.36003216,5.9
84,10056,-0.66312868,1.22768326,3.3
85,10125,-0.60564851,1.24059816,4.9
86,10130,-0.60010098,1.25822177,5.4
