Star ID,RA,DE,Magnitude
180,0.26840197,1.50080993,4.5
307,0.47478673,1.55384598,2.1
1550,2.48763146,1.42331756,4.6
2769,-1.8717998,1.43331063,4.4
2936,-1.62182262,1.51162375,4.4
4553,0.5140378,1.23335277,4.6
4559,0.5197555,1.25979237,4.1
4839,0.81359389,1.29514155,4.9
5005,0.98193817,1.24234277,4.7
6021,1.80120387,1.34469707,4.8
6896,2.48751874,1.22263451,4.6
7592,-3.00476247,1.22284051,3.9
8023,-2.49755241,1.32502372,4.4
8101,-2.39621742,1.2978248,2.2
8219,-2.26548485,1.25684539,3.1
8327,-2.15636795,1.36047004,4.3
8889,-1.64575225,1.25967301,4.9
9083,-1.47709359,1.24462449,4.2
9086,-1.47498655,1.26905872,3.7
9282,-1.33074686,1.2432117,4.9
9365,-1.23689506,1.27868576,4.6
9539,-1.09802567,1.2241863,4.0
9664,-1.00090458,1.3537082,4.4
10056,-0.66312868,1.22768326,3.3
10125,-0.60564851,1.24059816,4.9
10628,-0.23430994,1.31104072,4.6
10817,-0.09915411,1.35006905,3.4
11255,0.13150628,1.09355607,4.2
11443,0.21845698,1.06203988,4.9
11481,0.23418858,1.05499035,2.8
12030,0.48333826,1.10697455,3.4
12297,0.63230778,1.17249891,4.6
12703,0.85330544,1.14269479,4.8
12915,0.98139399,1.14098893,4.7
12968,1.01661409,1.09830084,4.9
13297,1.26127856,1.15646796,4.4
13350,1.30446033,1.05368736,4.2
13787,1.62900306,1.21022614,4.7
14572,2.20839645,1.06268522,3.5
14615,2.25088977,1.12581891,4.8
14787,2.38245668,1.17529342,4.9
14795,2.38594661,1.11210058,4.7
14907,2.4766633,1.10447882,3.8
15162,2.70766294,1.14877799,4.9
15383,2.88267088,1.08247647,2.0
15531,3.00396952,1.21487565,4.1
16198,-2.66175625,1.13393629,4.8
16272,-2.60476115,1.12773272,3.6
16557,-2.37024423,1.1542065,4.9
17073,-1.99269505,1.07559357,2.9
17280,-1.85115393,1.13814472,4.8
17364,-1.79491507,1.14800966,3.2
17575,-1.67010933,1.20045918,4.9
18221,-1.25425003,1.17938215,3.2
18298,-1.21991998,1.14525189,4.6
18395,-1.16736455,1.21433275,4.8
18675,-1.03585822,1.18212707,4.7
18896,-0.92177542,1.09651435,4.3
19018,-0.85401228,1.07589299,3.6
19301,-0.7095359,1.08861877,2.6
19540,-0.62579725,1.07958955,4.9
19623,-0.59339237,1.06272371,4.5
19752,-0.54436433,1.10631345,4.9
19826,-0.51338569,1.1237093,4.6
20267,-0.31462438,1.15082066,3.7
20553,-0.18954057,1.18399316,4.9
21132,0.02834233,1.02754694,2.4
21488,0.12654089,0.94678057,4.9
21565,0.14910443,0.93588152,3.7
21608,0.16430189,0.98198332,2.5
21636,0.17132007,0.87682976,4.9
21731,0.20097795,1.00445226,3.6
21854,0.23417229,1.02819775,4.8
22069,0.29689171,0.95791582,4.5
22267,0.3600831,1.04678236,2.8
22396,0.39551074,1.02933057,4.9
22553,0.43856903,0.8803049,4.2
23318,0.62078991,0.87360051,4.9
23654,0.72881569,0.97196625,4.0
23684,0.7448088,0.91733487,4.1
23788,0.79045925,0.93047522,3.1
24053,0.89448605,1.0431496,4.4
24060,0.89842271,1.02463631,4.8
24411,1.05962604,0.87646237,4.3
24530,1.11035251,0.87571381,4.6
24928,1.27963135,0.93679627,4.4
25449,1.5300149,0.97211228,4.9
25501,1.55076272,0.94742357,3.9
25664,1.63717331,1.03029811,4.4
25938,1.753282,1.03838315,4.9
26050,1.80184346,1.02085724,4.5
26686,2.11492505,0.9015106,4.9
27135,2.37956125,0.90421761,4.5
27190,2.4111888,0.94648813,4.9
27288,2.48502081,0.90593826,3.3
27297,2.49324968,0.91237188,4.6
27400,2.5632416,1.03454542,3.9
27407,2.56876411,0.94769725,4.5
27669,2.73772682,0.98153269,4.8
27875,2.87472099,0.98874415,2.4
28178,3.10323658,0.94200258,2.5
28314,-3.08504515,1.0002528,3.4
28552,-2.91542095,0.98141386,1.7
28600,-2.8859491,0.98847585,4.9
28736,-2.78416987,0.96317672,2.4
28737,-2.784105,0.96311452,4.0
28750,-2.77845675,0.96426043,4.0
28842,-2.71030986,0.95878218,4.8
29045,-2.56697805,0.90797627,4.6
29070,-2.5551858,0.90054107,4.9
29136,-2.51548414,0.90898842,4.1
29519,-2.25229351,1.03219819,3.5
29764,-2.09026238,1.02447768,4.1
30075,-1.90090767,0.99257985,4.9
30428,-1.70474969,0.91346485,3.0
30630,-1.60281583,0.99274173,3.9
30652,-1.59068027,0.89874048,2.4
30948,-1.46966373,1.02575182,4.9
31217,-1.35061016,1.03544741,4.9
31218,-1.35060478,1.0354477,4.8
31536,-1.23941749,0.92983327,4.0
31701,-1.1848841,0.90098255,3.9
31814,-1.15584618,0.87448811,4.6
32113,-1.07191031,0.912903,4.8
32377,-0.9938096,0.98461266,4.3
32861,-0.85472925,1.00181472,4.6
33664,-0.609487,0.88943482,4.8
33692,-0.60224759,1.02189343,4.0
34136,-0.48382447,1.01149345,3.6
34226,-0.46606116,0.9912374,4.2
34394,-0.42940066,0.90718816,4.6
34507,-0.40444158,1.01506294,4.0
34541,-0.39607643,0.87310076,3.9
34627,-0.36951434,0.89511998,4.8
35146,-0.24220159,1.03235067,4.9
35477,-0.14087904,1.01705814,4.9
35878,-0.03545766,0.99869931,4.8
35937,-0.01805796,0.89203962,4.8
35946,-0.01544055,0.96825044,4.9
36619,0.18294353,0.83795197,4.7
36698,0.205282,0.71221665,4.4
36971,0.29054831,0.81988199,4.3
37361,0.40950821,0.71831028,4.2
37374,0.41412562,0.84431592,3.8
37417,0.42594005,0.70379757,4.9
37733,0.52717503,0.73462368,2.3
38287,0.701497,0.85553349,4.2
38591,0.80680434,0.711476,2.9
38596,0.80915711,0.86261264,4.2
38608,0.81206941,0.7796299,4.0
38786,0.87589647,0.86716703,1.9
38848,0.89223174,0.85329501,4.9
38871,0.89788748,0.86110206,4.7
38889,0.90337348,0.83469324,4.5
38979,0.92906146,0.83824969,4.3
39052,0.95711246,0.83129228,3.1
39077,0.96773279,0.74041046,3.9
39335,1.06910951,0.83044598,4.0
39403,1.09614008,0.84272122,4.3
39408,1.09728225,0.70439758,4.9
39482,1.1254219,0.809508,4.9
39638,1.1921417,0.71844816,4.5
39954,1.30190873,0.76360753,3.5
39965,1.30453764,0.71567124,3.9
40025,1.32210247,0.7185345,3.3
40185,1.36568131,0.80196929,0.2
40232,1.37715285,0.69912319,4.9
40749,1.55273065,0.78443188,2.1
40755,1.55431454,0.80170958,4.6
41462,1.80629471,0.78821357,4.8
41680,1.89690412,0.86491774,4.8
41763,1.93272286,0.86067354,4.5
42318,2.1791275,0.75660426,4.4
42629,2.33784135,0.84193738,3.1
42641,2.34485532,0.73272699,4.1
42660,2.35715922,0.82651419,3.7
43267,2.67946969,0.75336914,3.5
43309,2.70245829,0.72870526,3.2
43378,2.75029573,0.71005923,4.8
43511,2.84099657,0.75846172,4.8
43628,2.90972443,0.78138686,3.1
43885,3.0692364,0.83874784,3.9
44229,-3.00470873,0.72656166,4.3
44548,-2.81302373,0.71271121,4.7
44667,-2.73836436,0.85994239,4.6
44751,-2.68094978,0.86502459,1.9
44964,-2.55480067,0.80838774,4.3
45336,-2.35592804,0.70837484,3.6
45356,-2.34686578,0.83510766,4.9
45771,-2.13390585,0.74334441,4.6
45864,-2.08899214,0.80589943,4.6
45910,-2.06301524,0.78653389,4.3
46027,-2.01482946,0.81038352,3.9
46160,-1.95263625,0.74244891,4.3
46304,-1.8859558,0.80406378,4.9
46871,-1.66656661,0.80341035,3.8
47918,-1.33599659,0.7658384,4.3
48795,-1.11957991,0.78553503,3.0
49336,-0.99459456,0.81312892,4.0
49384,-0.98643922,0.83007709,4.2
49527,-0.95804562,0.69980227,2.3
49711,-0.92280357,0.85141995,4.9
49940,-0.87386169,0.78715862,1.3
50098,-0.84110463,0.80159307,4.9
50179,-0.82259337,0.77138588,4.7
50273,-0.80587537,0.71512854,4.0
50334,-0.79358702,0.82597746,4.9
50423,-0.77182903,0.76319045,3.9
50455,-0.76411824,0.82810162,4.9
51034,-0.64534799,0.79185734,4.2
51292,-0.58929878,0.85656566,4.3
51903,-0.44088936,0.80781372,4.7
51969,-0.4254949,0.85909319,4.6
52054,-0.40385937,0.82816673,4.6
52078,-0.40000931,0.74816399,4.5
52250,-0.35641215,0.76820405,4.6
52608,-0.26348122,0.73403274,3.6
52648,-0.2533733,0.86882437,4.9
52786,-0.21706667,0.85753005,4.6
53203,-0.10860892,0.80611823,4.0
53215,-0.10613019,0.75033751,4.3
53263,-0.09626515,0.76893951,4.3
53776,0.06314449,0.67027867,4.4
53797,0.06853901,0.63718941,4.5
54032,0.14923919,0.58371446,4.5
54057,0.15990547,0.53385642,3.5
54280,0.23548565,0.66721508,3.9
54470,0.2920122,0.61707929,2.4
55288,0.54742638,0.65664523,4.8
55305,0.55222065,0.60653353,3.1
55426,0.58614054,0.5867286,4.1
55927,0.73049782,0.66521731,4.3
55945,0.73489525,0.60834033,4.7
56046,0.76600139,0.68877805,4.6
56137,0.79396446,0.67453514,3.7
56223,0.82053506,0.68806401,4.8
56339,0.8534455,0.59413102,4.9
56672,0.96506513,0.56080081,3.9
56798,1.00785195,0.55391199,2.9
56839,1.02315798,0.69581691,3.0
56855,1.02849527,0.62219291,4.0
57521,1.28165215,0.57750977,2.9
57754,1.35264159,0.67068286,4.8
57852,1.3739805,0.58156795,4.8
58163,1.43758728,0.56124689,4.9
58464,1.5084358,0.68358002,4.6
58501,1.51853434,0.68305143,4.2
58635,1.55469764,0.64945665,2.7
59569,1.78675698,0.59382195,3.6
59857,1.86732086,0.52934212,4.5
60117,1.94559481,0.55650948,4.2
60197,1.96965163,0.55850085,1.6
60246,1.98926033,0.60564452,4.9
61253,2.37083424,0.67462919,4.7
61390,2.42486905,0.64604119,3.8
61413,2.43479722,0.60397395,3.3
61569,2.49218248,0.63915111,4.6
61873,2.63756796,0.61940489,4.5
62037,2.7185831,0.59430934,4.8
62052,2.72706882,0.64514583,4.4
62172,2.77468606,0.5626335,4.8
62296,2.83843123,0.60187495,3.9
62483,2.94750928,0.5552032,3.9
62485,2.9486572,0.58237061,3.7
62490,2.95140427,0.67125547,4.8
63256,-2.90732015,0.67348775,2.9
63647,-2.72602975,0.63789341,4.9
64052,-2.54869325,0.62377035,4.8
64201,-2.48851618,0.5338969,3.8
64202,-2.48681514,0.67240807,3.0
64588,-2.29735384,0.58469112,3.5
64685,-2.25758375,0.65539775,4.5
64768,-2.22131718,0.55024641,4.2
64947,-2.14088186,0.62502737,4.8
65107,-2.06323581,0.63908435,4.9
65253,-2.00648744,0.54117332,4.7
65484,-1.92248111,0.55313421,3.0
65503,-1.91471497,0.68096348,3.6
65715,-1.83968821,0.54103229,3.9
65889,-1.7745481,0.64340511,3.4
65912,-1.76506609,0.57862542,4.6
65920,-1.76302318,0.65175472,4.8
66000,-1.73679582,0.64910225,4.5
66484,-1.59463584,0.65024025,4.0
66523,-1.58568579,0.52695504,4.5
66868,-1.49178723,0.62903295,4.3
67173,-1.41701427,0.67607113,0.1
67314,-1.38438606,0.69044251,4.5
67320,-1.38295969,0.65540158,4.3
67450,-1.36034342,0.58125529,3.9
67451,-1.36034291,0.58125549,3.8
67558,-1.34061597,0.64287715,4.5
67662,-1.32177463,0.56932281,3.3
68009,-1.2563978,0.68170665,4.5
68064,-1.2451573,0.66398642,4.5
68446,-1.17848092,0.59944303,4.9
68636,-1.14580763,0.52424411,4.8
68942,-1.09675878,0.57223427,4.2
69100,-1.07305714,0.66938298,4.9
69115,-1.07150663,0.60998404,4.0
69517,-1.01417505,0.64038598,4.8
69772,-0.9776389,0.66107036,4.9
69949,-0.95180919,0.55898964,4.6
70094,-0.92785688,0.52710083,4.1
70202,-0.90776086,0.61223857,4.9
70466,-0.85697309,0.53295801,4.3
70473,-0.85439916,0.58960689,2.6
70504,-0.84884589,0.63366094,4.5
71069,-0.73824831,0.52396486,3.4
71120,-0.7295797,0.66027881,3.8
71164,-0.71798838,0.68389515,4.3
71172,-0.71619913,0.60538621,4.4
72076,-0.48972571,0.57477556,4.4
72154,-0.47242376,0.68881576,4.6
72190,-0.46344491,0.65448422,4.2
72574,-0.36209967,0.67700565,4.9
73764,0.02529571,0.50290751,2.1
74163,0.156674,0.50685389,4.5
74266,0.1949655,0.41880121,4.3
74387,0.23793835,0.40401216,4.6
